source_system_id,source_system_name,target_system_id,target_system_name,flow_type,mechanism,frequency,description,status,notes
DCR-REV-01,VistaReserve,DCR-FIN-01,StateGov Financials (SGF),automated_feed,sftp,daily,Daily revenue batch summarizing gross revenue by park unit and revenue category. Aggregated into monthly fiscal periods upon receipt by SGF.,active,Known 2-5% timing divergence between VistaReserve daily totals and SGF monthly aggregations.
DCR-REV-01,VistaReserve,External-Email,Email Marketing Service,manual_extract,manual_csv_export,weekly,Weekly export of customer email addresses for marketing campaigns. Email service is a downstream consumer only and is not inventoried as a primary data source.,active,
DCR-HCM-01,PeopleFirst HR,DCR-FIN-01,StateGov Financials (SGF),automated_feed,api,monthly,Statewide payroll disbursement feed. DCR does not control this integration — it is managed by the state Department of Human Resources.,active,Payroll transactions flow through SGF as part of a statewide automated feed covering all state agencies.
DCR-FIN-02,GrantTrack_Excel_Master,DCR-FIN-01,StateGov Financials (SGF),manual_crossreference,manual_copypaste,ad_hoc,Manual cross-reference of SGF appropriation codes and encumbrance numbers when reconciling grant expenditures.,active,2-5% reconciliation gap attributed to timing differences and coding discipline variance.
DCR-FIN-02,GrantTrack_Excel_Master,External-VolunTracker,VolunTracker / Park Spreadsheets,manual_crossreference,manual_copypaste,ad_hoc,Manual copy-paste of volunteer hour totals from park-level spreadsheets and VolunTracker SaaS for in-kind match calculations.,active,No automated data feed. Individual contributions may be listed as multiple parties in a single cell.
DCR-GEO-01,GeoParks Enterprise,DCR-AST-01,InfraTrak Lifecycle,batch_file,manual_csv_export,one_time,One-time baseline asset inventory load in 2020. GIS feature data and coordinates used to seed the initial InfraTrak asset registry for Regions 1-2. No ongoing synchronization.,stale,Crosswalk between GeoParks feature IDs and InfraTrak asset tags has not been maintained since 2022.
DCR-GEO-01,GeoParks Enterprise,DCR-REV-01,VistaReserve,automated_feed,api,quarterly,Cached copy of simplified map data refreshed quarterly for VistaReserve's public-facing reservation map widget.,active,Simplified and cached — not a live feed of full GIS data.
External-DOJ,State Department of Justice,DCR-LES-01,RangerShield CAD/RMS,automated_feed,api,daily,Criminal justice network feed providing warrant checks and criminal history lookups for sworn officers. Inbound to RangerShield only.,active,External to DCR. Managed by state DOJ. CJIS-compliant network.
DCR-LES-01,RangerShield CAD/RMS,External-UCR,State UCR Reporting Authority,manual_extract,manual_copypaste,quarterly,Quarterly manual data entry of Uniform Crime Report statistics into the state reporting authority's system.,active,Manual data entry process — not an automated feed.
DCR-LES-01,RangerShield CAD/RMS,Internal-Leadership,DCR Executive Leadership,manual_extract,manual_compilation,ad_hoc,Ad hoc manual compilation of sanitized incident summaries for executive leadership. Delivered as static PDFs or printed memoranda.,active,2-4 week reporting lag. Aggregated and sanitized to satisfy CJIS constraints.
DCR-REV-02,LegacyRes_Archive,DCR-REV-01,VistaReserve,manual_crossreference,shared_crosswalk_table,one_time,Partial manual crosswalk spreadsheet mapping legacy site IDs to current VistaReserve IDs. Covers 15 highest-volume parks only. Created by a seasonal analyst in 2022.,stale,Unversioned standalone spreadsheet on shared drive. Not formally stewarded. Covers only 30% of legacy parks.
DCR-REV-01,VistaReserve,DCR-AST-01,InfraTrak Lifecycle,conceptual_overlap,shared_crosswalk_table,none,Asset crosswalk table nominally links VistaReserve inventory IDs to InfraTrak asset tags. Created during 2021 implementation but not maintained since 2022.,stale,Incomplete for assets added or reclassified after 2022.
DCR-REV-01,VistaReserve,DCR-GEO-01,GeoParks Enterprise,conceptual_overlap,shared_crosswalk_table,none,Same asset crosswalk table links VistaReserve inventory IDs to GeoParks feature IDs. Stale since 2022.,stale,Part of the three-way crosswalk (VistaReserve-InfraTrak-GeoParks) that has drifted.
DCR-AST-01,InfraTrak Lifecycle,DCR-GEO-01,GeoParks Enterprise,conceptual_overlap,shared_crosswalk_table,none,Asset crosswalk table links InfraTrak asset tags to GeoParks feature IDs. Same stale crosswalk.,stale,Three-way crosswalk covering VistaReserve-InfraTrak-GeoParks. Unmaintained since 2022.
DCR-NRM-01,BioSurvey_Legacy,DCR-GEO-01,GeoParks Enterprise,conceptual_overlap,none,none,BioSurvey survey_sites.park_id uses the same INTEGER park_id space as VistaReserve and InfraTrak but has no FK enforcement. Post-2011 records include GPS coordinates that can be manually overlaid on GeoParks spatial layers.,active,Manual GIS overlay — not an automated integration. Pre-2011 records lack coordinates.
DCR-FIN-01,StateGov Financials (SGF),DCR-AST-01,InfraTrak Lifecycle,conceptual_overlap,none,none,SGF expenditures and InfraTrak work order costs represent the same spending at different granularity levels. SGF tracks by object code (no asset attribution); InfraTrak tracks by asset. Reconciliation is manual using date and dollar matching.,active,No common key between systems. Manual reconciliation is error-prone. Applies only to Regions 1-2 where InfraTrak is deployed.
DCR-NRM-01,BioSurvey_Legacy,External-Wildlife,State Wildlife Agency,manual_extract,manual_csv_export,annual,Annual formatted Excel export of endangered species monitoring data submitted as a compliance obligation.,active,Maintained by Chief Biologist. Required for state Endangered Species Act compliance.
DCR-NRM-01,BioSurvey_Legacy,External-Health,State Health Department,manual_extract,manual_copypaste,seasonal,Summer-season manual transcription of beach water quality test results into the state health department's web portal.,active,Manual data entry for designated public swimming beaches only.
DCR-AST-01,InfraTrak Lifecycle,External-Legislature,Legislative Budget Office,manual_extract,manual_compilation,annual,Annual export of condition assessment scores as static PDF for inclusion in legislative budget request packages.,active,No live data feed. Static PDF export only.
DCR-HCM-01,PeopleFirst HR,DCR-REV-01,VistaReserve,conceptual_overlap,none,none,PeopleFirst organizational hierarchy is used to determine access control roles in VistaReserve. Linkage is maintained through manual access request processes — not automated identity provisioning.,active,No automated feed. Manual process for role assignment.
DCR-HCM-01,PeopleFirst HR,DCR-AST-01,InfraTrak Lifecycle,conceptual_overlap,none,none,PeopleFirst organizational hierarchy is used to determine access control roles in InfraTrak. Same manual process as VistaReserve.,active,No automated feed. Manual process for role assignment.
